elapsed_sec,pitch_accel,pitch_gyro,pitch_kalman,roll_accel,roll_gyro,roll_kalman
3.89,1.724,-0.001,-0.001,3.630,-0.000,0.000
3.90,1.744,-0.000,-0.000,3.347,0.002,0.002
3.91,1.761,-0.000,0.000,3.439,0.001,0.002
3.92,1.727,0.000,0.000,3.351,0.001,0.002
3.93,1.455,0.002,0.003,3.393,0.001,0.002
3.94,1.350,0.003,0.004,3.448,0.002,0.003
3.95,1.862,0.003,0.004,3.338,0.002,0.004
3.96,1.495,0.006,0.007,3.391,0.003,0.006
3.97,1.690,0.006,0.007,3.692,0.004,0.007
3.98,1.534,0.007,0.008,3.413,0.004,0.008
3.99,1.633,0.009,0.011,3.219,0.004,0.008
4.00,1.521,0.010,0.012,3.516,0.003,0.008
4.01,1.549,0.010,0.013,3.305,0.004,0.010
4.02,1.775,0.008,0.011,3.291,0.002,0.009
4.03,1.616,0.006,0.010,3.487,0.002,0.011
4.04,1.569,0.006,0.010,3.250,0.001,0.011
4.05,1.715,0.006,0.011,3.437,0.002,0.012
4.06,1.570,0.006,0.012,3.887,0.001,0.013
4.07,1.861,0.008,0.015,3.572,0.002,0.015
4.08,1.568,0.011,0.018,3.458,0.003,0.017
4.09,1.484,0.011,0.019,3.160,0.003,0.019
4.10,1.651,0.012,0.020,3.350,0.003,0.021
4.11,1.604,0.011,0.020,3.425,0.004,0.023
4.12,1.798,0.011,0.021,3.499,0.005,0.026
4.13,1.800,0.012,0.023,3.277,0.006,0.029
4.14,1.780,0.014,0.026,3.393,0.005,0.029
4.15,1.530,0.016,0.028,3.252,0.004,0.031
4.16,1.879,0.016,0.030,3.259,0.004,0.033
4.17,1.639,0.018,0.033,3.445,0.003,0.034
4.18,1.864,0.017,0.033,3.222,0.003,0.036
4.19,1.956,0.017,0.035,3.605,0.004,0.039
4.20,1.813,0.018,0.037,3.379,0.005,0.043
4.21,1.767,0.019,0.039,3.262,0.005,0.045
4.22,1.522,0.019,0.040,3.227,0.003,0.046
4.23,1.679,0.017,0.040,3.341,0.004,0.050
4.24,1.585,0.016,0.040,3.437,0.004,0.053
4.25,1.641,0.016,0.042,3.169,0.005,0.056
4.26,1.884,0.015,0.043,3.382,0.005,0.060
4.27,1.879,0.015,0.044,3.469,0.007,0.064
4.28,1.959,0.017,0.048,3.408,0.007,0.068
4.29,1.660,0.018,0.050,3.317,0.007,0.071
