elapsed_sec,pitch_accel,pitch_gyro,pitch_kalman,roll_accel,roll_gyro,roll_kalman
3.89,1.769,-0.001,-0.000,3.564,0.001,0.002
3.90,1.652,-0.000,0.001,3.579,0.003,0.007
3.91,1.738,0.001,0.005,3.463,0.003,0.010
3.92,1.904,0.002,0.008,3.486,0.006,0.017
3.93,1.734,0.000,0.009,3.728,0.007,0.025
3.94,1.463,0.001,0.013,3.387,0.007,0.031
3.95,1.882,0.000,0.016,3.615,0.008,0.041
3.96,2.092,-0.001,0.020,3.743,0.009,0.052
3.97,1.849,-0.003,0.024,3.494,0.010,0.063
3.98,1.774,-0.001,0.032,3.500,0.011,0.075
3.99,1.403,-0.001,0.037,3.689,0.010,0.087
4.00,1.872,0.000,0.045,3.725,0.011,0.103
4.01,1.698,-0.000,0.052,3.579,0.012,0.119
4.02,1.782,-0.003,0.058,3.660,0.014,0.138
4.03,1.772,-0.003,0.066,3.600,0.015,0.157
4.04,1.739,-0.002,0.076,3.560,0.016,0.175
4.05,1.990,-0.001,0.088,3.324,0.018,0.195
4.06,2.092,-0.000,0.101,3.549,0.018,0.215
4.07,1.944,0.001,0.114,3.619,0.019,0.238
4.08,2.082,0.001,0.127,3.591,0.020,0.262
4.09,1.633,0.004,0.141,3.607,0.021,0.286
4.10,1.572,0.005,0.153,3.666,0.022,0.312
4.11,1.743,0.006,0.165,3.472,0.022,0.337
4.12,1.809,0.006,0.179,3.900,0.022,0.365
4.13,1.881,0.005,0.192,3.642,0.023,0.394
4.14,1.714,0.004,0.205,3.320,0.025,0.422
4.15,1.877,0.002,0.218,3.947,0.026,0.455
4.16,1.912,0.002,0.234,3.935,0.026,0.488
4.17,1.924,0.002,0.251,3.942,0.028,0.523
4.18,1.731,0.004,0.267,3.781,0.027,0.556
4.19,1.796,0.004,0.284,3.649,0.027,0.589
4.20,1.775,0.005,0.301,3.502,0.026,0.620
4.21,1.410,0.004,0.313,3.558,0.027,0.654
4.22,1.897,0.002,0.330,4.024,0.028,0.695
4.23,1.635,0.003,0.346,3.732,0.031,0.734
4.24,1.769,0.001,0.362,3.814,0.034,0.775
4.25,1.947,-0.001,0.380,3.449,0.034,0.810
4.26,2.062,0.001,0.404,3.667,0.035,0.848
4.27,1.851,0.003,0.426,3.931,0.033,0.888
4.28,2.034,0.005,0.450,3.611,0.033,0.925
4.29,1.849,0.002,0.466,3.450,0.032,0.961
4.30,1.692,-0.001,0.482,3.690,0.031,1.000
4.31,1.668,-0.001,0.499,3.507,0.033,1.040
4.32,1.632,-0.002,0.517,3.529,0.035,1.081
4.33,1.960,-0.002,0.539,3.454,0.035,1.119
4.34,1.720,-0.004,0.556,3.516,0.037,1.160
4.35,1.980,-0.008,0.576,3.621,0.038,1.202
4.36,1.928,-0.007,0.599,3.653,0.039,1.244
4.37,1.724,-0.009,0.618,3.673,0.041,1.289
4.38,1.905,-0.009,0.641,3.469,0.040,1.327
4.39,1.669,-0.008,0.661,3.456,0.040,1.366
4.40,1.588,-0.009,0.677,3.603,0.039,1.406
4.41,1.698,-0.008,0.698,3.517,0.037,1.445
4.42,1.690,-0.006,0.719,3.732,0.037,1.490
4.43,1.733,-0.006,0.740,3.667,0.037,1.533
4.44,1.931,-0.006,0.764,3.464,0.036,1.572
4.45,1.735,-0.004,0.786,3.571,0.038,1.616
4.46,1.931,-0.003,0.811,3.629,0.039,1.660
4.47,1.877,-0.002,0.835,3.591,0.041,1.703
4.48,1.867,-0.002,0.857,3.547,0.041,1.744
4.49,1.727,-0.002,0.877,3.704,0.043,1.790
4.50,1.493,-0.001,0.894,3.688,0.043,1.834
4.51,1.675,-0.004,0.910,3.456,0.044,1.874
4.52,1.862,-0.005,0.932,3.690,0.046,1.921
4.53,1.844,-0.006,0.953,3.436,0.047,1.959
4.54,1.783,-0.005,0.975,3.593,0.046,2.000
4.55,1.923,-0.004,1.000,3.644,0.047,2.043
4.56,1.859,-0.004,1.022,3.969,0.047,2.091
4.57,1.960,-0.005,1.045,3.815,0.045,2.134
4.58,1.941,-0.004,1.069,3.893,0.045,2.180
4.59,2.283,-0.005,1.099,3.813,0.048,2.227
4.60,1.937,-0.005,1.122,3.969,0.049,2.275
4.61,1.996,-0.003,1.148,3.665,0.050,2.317
4.62,2.112,-0.004,1.173,3.490,0.052,2.355
4.63,1.841,-0.004,1.194,3.629,0.053,2.395
4.64,1.815,-0.004,1.213,3.611,0.055,2.435
4.65,1.894,-0.003,1.235,3.299,0.056,2.466
